sensitive_attribute,group,selection_rate,true_positive_rate,false_positive_rate
gender,Female,0.0766179023059757,0.5206422018348624,0.02279677509035307
gender,Male,0.26718023966740034,0.6315366049879324,0.10804638088545326
race,Amer-Indian-Eskimo,0.1092436974789916,0.5294117647058824,0.0392156862745098
race,Asian-Pac-Islander,0.2756756756756757,0.6576576576576577,0.11196911196911197
race,Black,0.09245122985581,0.5692307692307692,0.03336510962821735
race,Other,0.1320754716981132,0.7058823529411765,0.02247191011235955
race,White,0.2161540672607071,0.6154136758594635,0.08048780487804878
age_group,adult,0.18588531821045998,0.5810313075506446,0.0691156462585034
age_group,middle,0.3240076518412243,0.6419131529263687,0.12919398380254532
age_group,senior,0.24831460674157305,0.6346153846153846,0.13049853372434017
age_group,young,0.013877207737594618,0.358974358974359,0.008123129542539546
